Rank;Account;VOMOVREC;VOXOR;VOROOM;VOGAME;VOLAND;VOMARIO;Sum
187;congtinh;0.0;1.87;0.0;0.0;0.0;0.0;1.87
188;hoangvanthien;0.0;0.82;1.00;0.0;0.0;0.0;1.82
189;xacthuao1998;1.80;0.0;0.0;0.0;0.0;0.0;1.80
190;huyhandes;0.0;0.0;0.0;0.0;0.0;1.75;1.75
191;vothieuminh;0.0;1.75;0.0;0.0;0.0;0.0;1.75
192;guy_fawkes_23;0.0;0.93;0.75;0.0;0.0;0.0;1.68
193;neromix199;0.0;1.63;0.0;0.0;0.0;0.0;1.63
194;sangdephephe;0.0;1.52;0.0;0.0;0.0;0.0;1.52
195;romqn1999;0.0;0.0;0.0;1.50;0.0;0.0;1.50
196;reaxv;0.0;1.40;0.0;0.0;0.0;0.0;1.40
197;gestapo871;0.0;0.12;1.12;0.0;0.0;0.0;1.24
198;naminh;0.0;0.12;1.12;0.0;0.0;0.0;1.24
199;powerofbass;0.0;0.0;0.0;1.20;0.0;0.0;1.20
200;trueloveac;1.20;0.0;0.0;0.0;0.0;0.0;1.20
201;duyjoe8;0.0;1.17;0.0;0.0;0.0;0.0;1.17
202;skyvn97;0.0;0.0;1.00;0.0;0.0;0.0;1.00
203;lebatruc;0.0;0.0;1.00;0.0;0.0;0.0;1.00
204;horsea;0.0;0.0;0.75;0.0;0.0;0.0;0.75
205;damme;0.0;0.0;0.75;0.0;0.0;0.0;0.75
206;thanhhung123;0.0;0.0;0.75;0.0;0.0;0.0;0.75
207;catherian;0.0;0.12;0.63;0.0;0.0;0.0;0.74
208;quanganh1417;0.0;0.12;0.25;0.0;0.28;0.0;0.65
209;jellyfish810;0.0;0.0;0.63;0.0;0.0;0.0;0.63
210;tuankiet15ti;0.0;0.0;0.63;0.0;0.0;0.0;0.63
211;iamstudent1;0.0;0.12;0.50;0.0;0.0;0.0;0.62
212;lequangvuxxx;0.0;0.0;0.50;0.0;0.0;0.0;0.50
213;wormsmal;0.0;0.47;0.0;0.0;0.0;0.0;0.47
214;caothesan;0.0;0.35;0.0;0.0;0.0;0.0;0.35
215;giabinh;0.0;0.0;0.0;0.0;0.28;0.0;0.28
216;whynet;0.0;0.0;0.0;0.0;0.28;0.0;0.28
217;nhtien__thd;0.0;0.12;0.0;0.0;0.0;0.0;0.12
218;lythienan10t1;0.0;0.12;0.0;0.0;0.0;0.0;0.12
219;voquocthang;0.0;0.0;0.0;0.0;0.0;0.0;0.0
220;thanh27021999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
221;judadie;0.0;0.0;0.0;0.0;0.0;0.0;0.0
222;kutehl9x_n01;0.0;0.0;0.0;0.0;0.0;0.0;0.0
223;elizabet;0.0;0.0;0.0;0.0;0.0;0.0;0.0
224;tienthang2298;0.0;0.0;0.0;0.0;0.0;0.0;0.0
